Price,Close,High,Low,Open,Volume
Ticker,CHR,CHR,CHR,CHR,CHR
Date,,,,,
2025-08-08,1.1699999570846558,1.399999976158142,1.149999976158142,1.399999976158142,602600
2025-08-11,1.1200000047683716,1.2400000095367432,1.0800000429153442,1.0800000429153442,176800
2025-08-12,1.1699999570846558,1.1699999570846558,1.1100000143051147,1.1200000047683716,29200
2025-08-13,1.2200000286102295,1.2200000286102295,1.149999976158142,1.149999976158142,51200
2025-08-14,1.1399999856948853,1.2200000286102295,1.1299999952316284,1.2200000286102295,24000
2025-08-15,1.1100000143051147,1.159999966621399,1.100000023841858,1.159999966621399,56600
2025-08-18,1.1200000047683716,1.159999966621399,1.100000023841858,1.1299999952316284,75600
2025-08-19,1.1200000047683716,1.1299999952316284,1.100000023841858,1.1200000047683716,43100
2025-08-20,1.1299999952316284,1.1299999952316284,1.0800000429153442,1.100000023841858,42300
2025-08-21,1.1200000047683716,1.1299999952316284,1.1100000143051147,1.1299999952316284,32300
2025-08-22,1.1799999475479126,1.25,1.1200000047683716,1.1200000047683716,157700
2025-08-25,1.2000000476837158,1.2100000381469727,1.159999966621399,1.190000057220459,59500
2025-08-26,1.2000000476837158,1.2000000476837158,1.1799999475479126,1.1799999475479126,4700
2025-08-27,1.149999976158142,1.2000000476837158,1.1399999856948853,1.2000000476837158,21600
2025-08-28,1.1399999856948853,1.159999966621399,1.090000033378601,1.149999976158142,41500
2025-08-29,1.190000057220459,1.2200000286102295,1.1299999952316284,1.1299999952316284,48300
2025-09-02,1.159999966621399,1.2000000476837158,1.159999966621399,1.2000000476837158,9700
2025-09-03,1.2000000476837158,1.2100000381469727,1.1699999570846558,1.2000000476837158,45900
2025-09-04,0.6800000071525574,1.149999976158142,0.6800000071525574,1.149999976158142,638200
2025-09-05,0.6899999976158142,0.7699999809265137,0.6499999761581421,0.6499999761581421,728300
2025-09-08,0.6800000071525574,0.7099999785423279,0.6700000166893005,0.6899999976158142,212800
2025-09-09,0.7300000190734863,1.059999942779541,0.6800000071525574,0.6899999976158142,12251700
2025-09-10,0.7300000190734863,0.7900000214576721,0.7300000190734863,0.7300000190734863,550900
2025-09-11,0.7200000286102295,0.7300000190734863,0.7099999785423279,0.7200000286102295,101500
2025-09-12,0.7400000095367432,0.75,0.7099999785423279,0.7099999785423279,196000
2025-09-15,0.7099999785423279,0.7200000286102295,0.699999988079071,0.7099999785423279,87900
2025-09-16,0.6899999976158142,0.7200000286102295,0.6800000071525574,0.7200000286102295,95100
2025-09-17,0.7200000286102295,0.7300000190734863,0.6800000071525574,0.6800000071525574,122000
2025-09-18,0.7099999785423279,0.7200000286102295,0.6899999976158142,0.7200000286102295,55900
2025-09-19,0.7900000214576721,0.8100000023841858,0.7200000286102295,0.7200000286102295,343700
2025-09-22,0.75,0.7699999809265137,0.75,0.7699999809265137,48700
2025-09-23,0.7799999713897705,0.7900000214576721,0.7400000095367432,0.75,98100
2025-09-24,0.8399999737739563,0.8399999737739563,0.7799999713897705,0.7799999713897705,108200
2025-09-25,0.7799999713897705,0.8199999928474426,0.7699999809265137,0.7699999809265137,75200
2025-09-26,0.7699999809265137,0.800000011920929,0.7400000095367432,0.7699999809265137,78400
2025-09-29,0.7900000214576721,0.8100000023841858,0.75,0.75,20300
2025-09-30,0.6800000071525574,0.8199999928474426,0.6800000071525574,0.800000011920929,951400
2025-10-01,0.20000000298023224,0.25,0.18000000715255737,0.18000000715255737,60811900
2025-10-02,0.12999999523162842,0.1899999976158142,0.11999999731779099,0.18000000715255737,71398200
2025-10-03,0.1599999964237213,0.1899999976158142,0.1599999964237213,0.17000000178813934,319935500
2025-10-06,0.17000000178813934,0.18000000715255737,0.1599999964237213,0.17000000178813934,50052500
2025-10-07,0.1599999964237213,0.17000000178813934,0.1599999964237213,0.1599999964237213,32784400
2025-10-08,0.18000000715255737,0.20000000298023224,0.17000000178813934,0.18000000715255737,70272500
2025-10-09,0.17000000178813934,0.18000000715255737,0.17000000178813934,0.18000000715255737,16690500
2025-10-10,0.15000000596046448,0.18000000715255737,0.14000000059604645,0.18000000715255737,21722300
2025-10-13,0.14000000059604645,0.15000000596046448,0.12999999523162842,0.14000000059604645,11647700
2025-10-14,0.14000000059604645,0.14000000059604645,0.12999999523162842,0.14000000059604645,5926100
2025-10-15,0.14000000059604645,0.15000000596046448,0.12999999523162842,0.14000000059604645,7375900
2025-10-16,0.14000000059604645,0.14000000059604645,0.12999999523162842,0.14000000059604645,9157600
2025-10-17,0.11999999731779099,0.14000000059604645,0.11999999731779099,0.12999999523162842,7751900
2025-10-20,0.11999999731779099,0.12999999523162842,0.11999999731779099,0.11999999731779099,5204800
2025-10-21,0.11999999731779099,0.11999999731779099,0.10999999940395355,0.10999999940395355,9503700
2025-10-22,0.11999999731779099,0.12999999523162842,0.11999999731779099,0.11999999731779099,11576500
2025-10-23,0.12999999523162842,0.12999999523162842,0.11999999731779099,0.11999999731779099,8070700
2025-10-24,0.11999999731779099,0.12999999523162842,0.11999999731779099,0.12999999523162842,4085600
2025-10-27,0.12999999523162842,0.12999999523162842,0.11999999731779099,0.11999999731779099,6513600
2025-10-28,0.12999999523162842,0.14000000059604645,0.12999999523162842,0.12999999523162842,6736700
2025-10-29,0.11999999731779099,0.12999999523162842,0.11999999731779099,0.11999999731779099,4864800
2025-10-30,0.11999999731779099,0.12999999523162842,0.11999999731779099,0.11999999731779099,3573400
2025-10-31,0.11999999731779099,0.14000000059604645,0.11999999731779099,0.11999999731779099,19713100
2025-11-03,0.12999999523162842,0.18000000715255737,0.11999999731779099,0.12999999523162842,77702600
2025-11-04,0.14000000059604645,0.15000000596046448,0.12999999523162842,0.12999999523162842,92175000
2025-11-05,0.1923000067472458,0.27900001406669617,0.16009999811649323,0.25699999928474426,607468569
