timestamp,close,high,low,trade_count,open,volume,vwap
2025-05-12 12:00:00+00:00,10.58,10.58,10.58,1,10.58,200,10.58
2025-05-12 12:12:00+00:00,10.58,10.58,10.58,2,10.58,225,10.58
2025-05-12 12:15:00+00:00,10.58,10.58,10.58,1,10.58,200,10.58
2025-05-12 12:17:00+00:00,10.59,10.59,10.59,3,10.59,350,10.59
2025-05-12 12:19:00+00:00,10.62,10.62,10.6,3,10.6,540,10.611111
2025-05-12 12:29:00+00:00,10.62,10.62,10.62,4,10.62,389,10.62
2025-05-12 12:30:00+00:00,10.62,10.62,10.62,4,10.62,380,10.62
2025-05-12 12:38:00+00:00,10.59,10.62,10.59,13,10.62,1658,10.604491
2025-05-12 13:07:00+00:00,10.57,10.6,10.57,7,10.6,1039,10.587054
2025-05-12 13:12:00+00:00,10.57,10.57,10.57,2,10.57,200,10.57
2025-05-12 13:13:00+00:00,10.58,10.58,10.58,2,10.58,200,10.58
2025-05-12 13:15:00+00:00,10.58,10.58,10.57,6,10.58,772,10.577093
2025-05-12 13:20:00+00:00,10.58,10.58,10.58,1,10.58,200,10.58
2025-05-12 13:26:00+00:00,10.55,10.57,10.55,3,10.57,600,10.56
2025-05-12 13:27:00+00:00,10.55,10.55,10.55,2,10.55,200,10.55
2025-05-12 13:29:00+00:00,10.56,10.56,10.56,1,10.56,100,10.56
2025-05-12 13:30:00+00:00,10.635,10.65,10.565,40,10.565,13311,10.631921
2025-05-12 13:31:00+00:00,10.665,10.665,10.635,19,10.635,22494,10.646996
2025-05-12 13:32:00+00:00,10.655,10.67,10.635,48,10.67,42741,10.650173
2025-05-12 13:33:00+00:00,10.655,10.66,10.65,22,10.65,11096,10.654602
2025-05-12 13:34:00+00:00,10.67,10.67,10.66,21,10.66,7526,10.666389
2025-05-12 13:35:00+00:00,10.695,10.695,10.67,62,10.675,9686,10.68234
2025-05-12 13:36:00+00:00,10.7,10.725,10.7,77,10.71,59660,10.719554
2025-05-12 13:37:00+00:00,10.7,10.705,10.695,42,10.695,22621,10.703086
2025-05-12 13:38:00+00:00,10.69,10.71,10.69,18,10.7,17105,10.698304
2025-05-12 13:39:00+00:00,10.66,10.685,10.65,32,10.685,13516,10.67136
2025-05-12 13:40:00+00:00,10.65,10.67,10.64,14,10.67,15868,10.664987
2025-05-12 13:41:00+00:00,10.64,10.64,10.62,16,10.62,6543,10.629077
2025-05-12 13:42:00+00:00,10.62,10.64,10.62,29,10.64,11507,10.62479
2025-05-12 13:43:00+00:00,10.62,10.625,10.62,14,10.625,4203,10.620767
2025-05-12 13:44:00+00:00,10.61,10.62,10.61,24,10.62,6854,10.614001
2025-05-12 13:45:00+00:00,10.62,10.63,10.62,9,10.63,2512,10.6212
2025-05-12 13:46:00+00:00,10.585,10.61,10.585,17,10.61,3320,10.602995
2025-05-12 13:47:00+00:00,10.575,10.585,10.57,18,10.585,22194,10.575438
